,rouge_l_precision_mean,rouge_l_precision_std,rouge_l_precision_min,rouge_l_precision_max,rouge_l_recall_mean,rouge_l_recall_std,rouge_l_recall_min,rouge_l_recall_max,rouge_l_f1_mean,rouge_l_f1_std,rouge_l_f1_min,rouge_l_f1_max,faithfulness_mean,faithfulness_std,faithfulness_min,faithfulness_max,latency_ms_mean,latency_ms_std,latency_ms_min,latency_ms_max,confidence_score_mean,confidence_score_std,confidence_score_min,confidence_score_max,guardrail_trigger_rate
Baseline,0.1283572813943658,0.14467003065409448,0.0,0.4666666666666667,0.26518939393939395,0.22995643713993674,0.0,0.8,0.15421020935599808,0.16348718321713548,0.0,0.5333333333333333,0.29239787657340494,0.14776990953349026,0.07142857142857142,0.6666666666666666,678.9454698562622,188.4480670563507,456.6190242767334,1112.7691268920898,0.42608090937137605,0.08170966498378116,0.3166394829750061,0.5966905355453491,0.0
Hybrid,0.133880990011021,0.13472516579661808,0.0,0.4,0.2625378787878788,0.2381140839525962,0.0,0.8,0.15897759009713466,0.15415006372643178,0.0,0.5333333333333333,0.2808695621543919,0.11949233019075144,0.06666666666666667,0.5833333333333334,622.1601009368896,249.8127970922081,403.414249420166,1543.614387512207,0.5861830590827648,0.08038134414177682,0.5,0.7229653369276654,0.0
Reranker,0.15381205673758866,0.025747403779180153,0.125,0.1875,0.4103535353535353,0.1292450787400929,0.2727272727272727,0.5833333333333334,0.21567011927181415,0.020847256434469295,0.1875,0.23728813559322032,0.5825341005967605,0.2996953059513076,0.1875,0.9130434782608695,3563.9440655708313,10755.506218472012,817.3341751098633,50430.527448654175,0.11955110585982001,0.27516259750775673,2.1233784e-06,0.994615,0.85
Query Decomposition,0.1289470494675603,0.14012730480671892,0.0,0.4666666666666667,0.27352272727272725,0.24489267375685134,0.0,0.8,0.15562054850212742,0.16323791020675613,0.0,0.5333333333333333,0.3027736537198611,0.16677343392764432,0.0,0.625,2262.1247053146362,452.9130086394046,1422.5146770477295,3071.119785308838,0.4548458278179169,0.10225923426474624,0.3120776414871216,0.6577484607696533,0.0
